2026-04-19 20:48:06 | DEBUG    | controllers.main_controller    | Product loader thread started
2026-04-19 20:48:06 | DEBUG    | controllers.main_controller    | Products loaded: 418 items
2026-04-19 20:48:06 | DEBUG    | controllers.main_controller    | Products loaded: 418 items
2026-04-19 20:48:07 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=241 200, caisse=241 200
2026-04-19 20:48:07 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=241 200, caisse=241 200
2026-04-19 20:48:20 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:48:21 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:48:37 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:48:39 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:48:44 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:48:45 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:48:52 | DEBUG    | controllers.main_controller    | [DEBUG] record_sales called with 3 rows
2026-04-19 20:48:52 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=251 400, caisse=251 400
2026-04-19 20:48:52 | INFO     | core.database.product_repository | Found 0 promo products
2026-04-19 20:48:52 | INFO     | core.database.product_repository | Found 30 products near DLV within 30 days
2026-04-19 20:48:52 | INFO     | core.database.product_repository | Found 2 products with passed DLV to remove
2026-04-19 20:48:52 | DEBUG    | controllers.main_controller    | Header data refreshed: 40 transactions, 0 promo, 30 near DLV, 2 to remove
2026-04-19 20:48:52 | DEBUG    | controllers.main_controller    | Product loader thread started
2026-04-19 20:48:52 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:48:52 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=251 400, caisse=251 400
2026-04-19 20:48:52 | INFO     | core.database.product_repository | Found 0 promo products
2026-04-19 20:48:52 | INFO     | core.database.product_repository | Found 30 products near DLV within 30 days
2026-04-19 20:48:52 | INFO     | core.database.product_repository | Found 2 products with passed DLV to remove
2026-04-19 20:48:52 | DEBUG    | controllers.main_controller    | Header data refreshed: 40 transactions, 0 promo, 30 near DLV, 2 to remove
2026-04-19 20:48:52 | DEBUG    | controllers.main_controller    | Product loader thread started
2026-04-19 20:48:52 | DEBUG    | controllers.main_controller    | Products loaded: 418 items
2026-04-19 20:48:52 | DEBUG    | controllers.main_controller    | Products loaded: 418 items
2026-04-19 20:48:53 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=251 400, caisse=251 400
2026-04-19 20:48:53 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=251 400, caisse=251 400
2026-04-19 20:49:58 | INFO     | services.data_export_service   | Exported to C:\Users\nak\Documents\Projet\backups\autosave_2026-04-19_20260419_204958.json: 418 products, 40 sales, 0 expenses
2026-04-19 20:49:58 | INFO     | services.autosave_service      | Autosave completed: C:\Users\nak\Documents\Projet\backups\autosave_2026-04-19_20260419_204958.json
2026-04-19 20:49:58 | INFO     | services.daily_reset_service   | Cloture complete for 2026-04-19, executing daily reset
2026-04-19 20:49:58 | INFO     | services.daily_reset_service   | Executing daily reset for date: 2026-04-19
2026-04-19 20:49:58 | INFO     | services.daily_reset_service   | Last closed date set to: 2026-04-19
2026-04-19 20:49:58 | DEBUG    | services.daily_reset_service   | Reset pending flag set to: False
2026-04-19 20:49:58 | INFO     | services.daily_reset_service   | Daily reset completed: closed=2026-04-19, coffre was 0, now reset to 0
2026-04-19 20:49:58 | INFO     | controllers.main_controller    | Daily reset executed after cloture: {'closed_date': '2026-04-19', 'reset_date': '2026-04-19', 'coffre_before': 0, 'coffre_after': 0}
2026-04-19 20:49:58 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=251 400, caisse=251 400
2026-04-19 20:49:59 | INFO     | services.suivi_journalier_service | Created next day 2026-04-20 with SI from yesterday SF, CA=244900
2026-04-19 20:50:15 | INFO     | ui.dialogs.daily_sales_report_dialog | Exporter PDF clicked - generating report for 2026-04-19
2026-04-19 20:50:16 | INFO     | ui.dialogs.daily_sales_report_dialog | PDF generated: C:\Users\nak\Documents\Journalier-2026-04-19.pdf
2026-04-19 20:50:16 | INFO     | ui.dialogs.daily_sales_report_dialog | PDF opened: C:\Users\nak\Documents\Journalier-2026-04-19.pdf
2026-04-19 20:50:16 | INFO     | controllers.main_controller    | Session closed: 190
2026-04-19 20:50:16 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=251 400, caisse=251 400
